uai - identifiant;Libellé;Site internet;Géolocalisation;Code académie;Académie;Adresse;Code postal;Localité;Pays;Numéro de téléphone;compte_facebook;compte_twitter;compte_flickr;flux_rss;compte_linkedin;compte_pinterest;compte_france_culture;compte_scribd;compte_scoopit;compte_tumblr;compte_viadeo;compte_dailymotion;compte_vimeo;compte_youtube;compte_googleplus;autres;Effectifs d'étudiants inscrits 2014-15
0921204J;Université Paris Nanterre;http://www.u-paris10.fr/;48.9035, 2.21448;A25;Versailles;200 AVENUE DE LA REPUBLIQUE;92001;NANTERRE CEDEX;France;140977200;https://www.facebook.com/universite.paris.ouest;https://twitter.com/ParisOuest;;;;;;;;;;;;;;;31459
0931238R;Université Paris 13 - Paris Nord;http://www.univ-paris13.fr/;48.9571, 2.33972;A24;Créteil;AVENUE JEAN BAPTISTE CLEMENT;93430;VILLETANEUSE;France;149403000;https://www.facebook.com/univparis13;https://twitter.com/univ_paris13;;;;;http://plus.franceculture.fr/partenaires/paris-13;;;;;http://www.dailymotion.com/CommunicationP13#video=x18idtq;;http://www.youtube.com/user/Univparis13;;;20391
9830445S;Université de la Nouvelle-Calédonie;http://www.univ-nc.nc/;-22.2638507, 166.4043178;A40;Nouvelle-Calédonie;145 AVENUE JAMES COOK;98851;NOUMEA CEDEX;France;687265800;https://www.facebook.com/univ.nc;;;http://www.univ-nc.nc/feed;;;;;;;;;;;;;2757
0060931E;Université Nice - Sophia-Antipolis;http://unice.fr/;43.7167, 7.26827;A23;Nice;28 AVENUE VALROSE;6103;NICE CEDEX 2;France;492076060;https://www.facebook.com/UnivNiceSophia;https://twitter.com/Univ_Nice;;http://filuns.unice.fr/;;;;;;;;;http://vimeo.com/unice/videos;http://www.youtube.com/;;;26382
0290346U;Université de Bretagne Occidentale;http://www.univ-brest.fr/;48.3983, -4.50774;A14;Rennes;3 RUE DES ARCHIVES;29238;BREST CEDEX 3;France;298016000;https://www.facebook.com/UBO.UnivBrest;https://twitter.com/UBO_UnivBrest;;;;;;;;http://ubo-univ.tumblr.com/;;;;https://www.youtube.com/user/UnivBrest;;;17797
0311382J;Université Toulouse 1 - Capitole;http://www.ut-capitole.fr/;43.6063, 1.43552;A16;Toulouse;2 RUE DU DOYEN GABRIEL MARTY;31042;TOULOUSE CEDEX;France;561633500;https://www.facebook.com/ut1capitole;https://twitter.com/UT1Capitole;;;https://www.linkedin.com/company/universit-toulouse-1-capitole;;;;http://www.scoop.it/u/ut1capitole;;http://www.viadeo.com/fr/company/universite-toulouse-1-capitole;http://www.dailymotion.com/ut-capitole#video=x19f8yb;;;;;21210
0350936C;Université de Rennes 1;http://www.univ-rennes1.fr/;48.1157, -1.67381;A14;Rennes;2 RUE DU THABOR;35065;RENNES CEDEX;France;223233636;https://www.facebook.com/UnivRennes1;https://twitter.com/UnivRennes1;;http://www.univ-rennes1.fr/bas-de-page/RSS/;;;;;;;;;;;;;25803
0440984F;Université de Nantes;http://www.univ-nantes.fr/;47.2097, -1.55587;A17;Nantes;1 QUAI DE TOURVILLE;44035;NANTES CEDEX 1;France;240998383;https://www.facebook.com/univnantes;https://twitter.com/UnivNantes;;http://www.univ-nantes.fr/74165974//fiche___pagelibre/&RH=INSTITUTIONNEL_FR;;;;;;;;;;http://www.youtube.com/user/UnivNantes;;;35021
0681166Y;Université de Haute-Alsace;http://www.uha.fr/;47.7323, 7.31485;A15;Strasbourg;2 RUE DES FRERES LUMIERE;68093;MULHOUSE CEDEX;France;389336000;https://www.facebook.com/UHA68;https://twitter.com/UHA68;;;;;;;;;;;;;https://plus.google.com/u//1843824938262641165/posts;;7692
0691774D;Université Claude Bernard - Lyon 1;http://www.univ-lyon1.fr/;45.782, 4.86651;A10;Lyon;43 BOULEVARD DU 11 NOVEMBRE 1918;69622;VILLEURBANNE CEDEX;France;472448016;https://www.facebook.com/UnivLyon1;https://twitter.com/UnivLyon1;;http://feeds.feedburner.com/UnivLyon1;;;;;;;;;;http://www.youtube.com/user/UnivLyon1;;;34049
0751717J;Université Paris 1 - Panthéon Sorbonne;http://www.univ-paris1.fr/;48.8468, 2.34488;A01;Paris;12 PLACE DU PANTHEON;75231;PARIS CEDEX 05;France;144078000;https://www.facebook.com/UnivParis1PantheonSorbonne;https://twitter.com/SorbonneParis1;;http://www.univ-paris1.fr/index.php?id=51784;http://www.linkedin.com/edu/school?id=12544;;;;;;;;;http://www.youtube.com/user/UnivParis1;;;39532
0860856N;Université de Poitiers;http://www.univ-poitiers.fr/;46.5861, 0.346654;A13;Poitiers;15 RUE DE L'HOTEL DIEU;86034;POITIERS CEDEX;France;549453000;https://www.facebook.com/universitedepoitiers;https://twitter.com/UnivPoitiers;;http://www.univ-poitiers.fr/flux-rss-727821.kjsp;;;;;;;;;;https://www.youtube.com/user/UniversitePoitiers;https://plus.google.com/14559162876535225/posts;;22978
9730429D;Université de Guyane;http://www.univ-guyane.fr/;4.93278, -52.301511;A33;Guyane;2091 ROUTE DE BADUEL;97337;CAYENNE CEDEX;France;594289336;https://www.facebook.com/univguyane;https://twitter.com/univguyane;;;;;;;;;;;;;;;2078
9740478B;Université de La Réunion;http://www.univ-reunion.fr/;-20.9019, 55.4843;A28;La Réunion;15 AV RENE CASSIN;97715;ST DENIS MESSAG CEDEX 9;France;262938080;https://www.facebook.com/pages/Universit%C3%A9-de-La-R%C3%A9union-OFFICIEL/1971768169943;https://twitter.com/Univ_Reunion;;http://www.univ-reunion.fr/?type=1;;;;;;;;;;;;;12136
9840349G;Université de la Polynésie Française;http://www.upf.pf/;-17.576944, -149.609167;A41;Polynésie Française;;98704;FAAA;France;689437448;https://www.facebook.com/univpf;https://twitter.com/universitepf;;http://www.upf.pf/spip.php?page=backend;http://www.linkedin.com/company/universit-de-la-polyn-sie-fran-aise;;;;;;;;;;;;3255
